sha,filename,url,lines,title,comment,priority,category,additional,id,private
"12d4b2ddd3c4d94b1db9b043836d1d2754d0c37b","/environment.yml","","4:4-4:15","Change in conda env","Make a version of the environment without conda-forge for those who use the commerical version of conda ","0","","","10784071-b069-4e96-a65d-664920ccbb4e","0"
"12d4b2ddd3c4d94b1db9b043836d1d2754d0c37b","/setup.py","","1:0-8:0","Setup.py is too old","Setup.py systems are too old\nYoure using python 3.10 \nUse setup.cfg, pyproject.toml or something else","0","","","cce6c4bf-c1fe-4792-8d94-115fbd80dc3f","0"
"12d4b2ddd3c4d94b1db9b043836d1d2754d0c37b","/__pycache__/functions.cpython-310.pyc","","1:0-77:11","Remove","Remove all of this","3","","","138ae97f-6950-48ad-acde-5a89afe86791","0"
"12d4b2ddd3c4d94b1db9b043836d1d2754d0c37b","/__pycache__/run.cpython-310.pyc","","1:0-90:26","Remove all of this","Remove all pycache","0","","","0e27674e-407a-4572-ac09-0f93ccdf546d","0"
"12d4b2ddd3c4d94b1db9b043836d1d2754d0c37b","/.gitignore","","4:0-4:12","this didnt work","","0","","","99349ccf-f77c-4be3-9f56-9431466a205a","0"
"12d4b2ddd3c4d94b1db9b043836d1d2754d0c37b","/src/__pycache__/get_hidden_states.cpython-310.pyc","","1:0-49:224","Remove","","0","","","09d0e3b3-f6b4-4762-9fc5-c2b40269bc16","0"
"12d4b2ddd3c4d94b1db9b043836d1d2754d0c37b","/src/__pycache__/models.cpython-310.pyc","","1:0-112:9","Remove","","0","","","52246379-137f-44c1-88e3-4e40dc405ca1","0"
"12d4b2ddd3c4d94b1db9b043836d1d2754d0c37b","/src/__pycache__/retrieve_sae_features.cpython-310.pyc","","1:0-40:4","Remove","","0","","","8ed82f0b-8782-4adc-8d9a-6e9f0a46f266","0"
"12d4b2ddd3c4d94b1db9b043836d1d2754d0c37b","/src/get_hidden_states.py","","65:4-70:24","Internally defined functions I dont think are good but it could just be me","","0","","","45642c62-d46a-47f6-ad5c-51e415687639","0"
"12d4b2ddd3c4d94b1db9b043836d1d2754d0c37b","/src/run_extract.sh","","1:0-249:0","Move to scripts on outside of src","","0","","","0a13c2ab-5a90-4ab9-851f-94f2bcc1a66e","0"
"12d4b2ddd3c4d94b1db9b043836d1d2754d0c37b","/src/run_outputs.sh","","1:0-64:62","Move to scripts on outside of src","","0","","","14863a9b-bf50-4818-9d95-204dd711f2cb","0"
"12d4b2ddd3c4d94b1db9b043836d1d2754d0c37b","/src/run_process.sh","","1:0-54:0","Move to scripts on outside of src","","0","","","6415fc15-59d7-44c2-9f29-87b3c90c074c","0"
"12d4b2ddd3c4d94b1db9b043836d1d2754d0c37b","/src/shan.sh","","1:0-210:18","Move to scripts on outside of src","","0","","","3356e910-6acf-4a28-b459-9f2b73d1475c","0"
"12d4b2ddd3c4d94b1db9b043836d1d2754d0c37b","/src/readme.md","","1:0-45:0","Move to outside of src or in scripts folder","","0","","","1d6fb9ba-ebf7-4c4e-a495-f1ab44950320","0"
