binarize_value,top_n,layer,width,F1_mean,F1_std
1,0,12,16k,0.8022015975703641,0.1434311761764791
1,0,20,16k,0.8019793017695953,0.1476985273199136
0,50,20,16k,0.7989136906333059,0.1540895004933787
1,0,31,16k,0.7964191565891744,0.1482959802914316
0,0,20,16k,0.7955921433511532,0.13712902570480132
0,20,20,16k,0.7901082860752212,0.15743257507600805
1,50,20,16k,0.7892386072502929,0.1548462983291075
0,50,31,16k,0.7878280377453717,0.15883187764262596
0,50,9,16k,0.7869548260194935,0.1562363546054139
0,50,12,16k,0.7865909711066122,0.16159001476469578
0,20,12,16k,0.7845869468996928,0.15756612656208221
0,50,19,16k,0.7813912860265719,0.16357147041179734
1,0,19,16k,0.7795903482351361,0.16076417416736138
0,20,31,16k,0.7793851990115191,0.16237460579490623
0,0,12,16k,0.778760848530028,0.15515415803375043
