dataset_name,type,layer,linear_macro_f1_score
AIM-Harvard/google_gemma_2_2b_pubmed_qa,Hidden States,31,0.849624060150376
AIM-Harvard/google_gemma_2_2b_pubmed_qa,SAE Features,31,0.7126436781609196
AIM-Harvard/google_gemma_2_9b_it_pubmed_qa,Hidden States,31,0.7742200328407225
AIM-Harvard/google_gemma_2_9b_it_pubmed_qa,SAE Features,20,0.6310763888888888
AIM-Harvard/google_gemma_2_9b_pubmed_qa,Hidden States,31,0.8474214220323466
AIM-Harvard/google_gemma_2_9b_pubmed_qa,SAE Features,20,0.6753246753246753
AIM-Harvard/multilingual_toxicity_dataset,Hidden States,20,0.9729986769351698
AIM-Harvard/multilingual_toxicity_dataset,SAE Features,12,0.97
AIM-Harvard/reject_prompts,Hidden States,5,1.0
AIM-Harvard/reject_prompts,SAE Features,5,1.0
Anthropic/election_questions,Hidden States,20,1.0
Anthropic/election_questions,SAE Features,12,1.0
SetFit/tweet_eval_stance_abortion,Hidden States,31,0.7720445736434108
SetFit/tweet_eval_stance_abortion,SAE Features,31,0.7775489928406748
cardiffnlp/tweet_sentiment_multilingual,Hidden States,31,0.7988544393682734
cardiffnlp/tweet_sentiment_multilingual,SAE Features,20,0.8567354214413038
gallifantjack/pminervini_NQ_Swap_org_answer_None_openai_google_gemma_2_9b_it,Hidden States,12,0.8448514910588281
gallifantjack/pminervini_NQ_Swap_org_answer_None_openai_google_gemma_2_9b_it,SAE Features,9,0.8711975016834712
gallifantjack/pminervini_NQ_Swap_org_answer_question_openai_google_gemma_2_9b_it,Hidden States,9,0.7273938788181666
gallifantjack/pminervini_NQ_Swap_org_answer_question_openai_google_gemma_2_9b_it,SAE Features,9,0.7368706961287127
gallifantjack/pminervini_NQ_Swap_sub_answer_question_openai_google_gemma_2_9b_it,Hidden States,5,0.6109995876724036
gallifantjack/pminervini_NQ_Swap_sub_answer_question_openai_google_gemma_2_9b_it,SAE Features,5,0.6265739053987227
jackhhao/jailbreak-classification,Hidden States,12,1.0
jackhhao/jailbreak-classification,SAE Features,9,1.0
legacy-datasets/banking77,Hidden States,31,0.8449715242193411
legacy-datasets/banking77,SAE Features,12,0.9163701462487608
textdetox/multilingual_toxicity_dataset,Hidden States,20,0.9659987759559344
textdetox/multilingual_toxicity_dataset,SAE Features,9,0.9719989919637106
willcb/massive-intent,Hidden States,12,0.8068610287557885
willcb/massive-intent,SAE Features,20,0.8306834520121563
willcb/massive-scenario,Hidden States,9,0.8717063128339255
willcb/massive-scenario,SAE Features,9,0.9060420211075048
