sample_id,label,npz_file,reconstruction_error
0,Neutral,./output_llm_both/sample_0.npz,-9181.5517578125
1,Neutral,./output_llm_both/sample_1.npz,-9169.7685546875
2,Neutral,./output_llm_both/sample_2.npz,-9198.4404296875
3,Challenging,./output_llm_both/sample_3.npz,-9158.5576171875
4,Challenging,./output_llm_both/sample_4.npz,-9174.7509765625
5,Challenging,./output_llm_both/sample_5.npz,-9112.6630859375
6,Challenging,./output_llm_both/sample_6.npz,-9267.20703125
7,Challenging,./output_llm_both/sample_7.npz,-9132.3671875
8,Challenging,./output_llm_both/sample_8.npz,-9139.130859375
9,Neutral,./output_llm_both/sample_9.npz,-9197.1083984375
10,Neutral,./output_llm_both/sample_10.npz,-9173.046875
11,Neutral,./output_llm_both/sample_11.npz,-9187.4443359375
12,Challenging,./output_llm_both/sample_12.npz,-9179.01171875
13,Challenging,./output_llm_both/sample_13.npz,-9157.37890625
14,Challenging,./output_llm_both/sample_14.npz,-9284.126953125
15,Neutral,./output_llm_both/sample_15.npz,-9136.8271484375
16,Challenging,./output_llm_both/sample_16.npz,-9179.9755859375
17,Challenging,./output_llm_both/sample_17.npz,-9205.3017578125
18,Neutral,./output_llm_both/sample_18.npz,-9142.8056640625
19,Neutral,./output_llm_both/sample_19.npz,-9281.0537109375
20,Neutral,./output_llm_both/sample_20.npz,-9274.3115234375
21,Challenging,./output_llm_both/sample_21.npz,-9073.2919921875
22,Neutral,./output_llm_both/sample_22.npz,-9150.1044921875
23,Neutral,./output_llm_both/sample_23.npz,-8914.5400390625
24,Challenging,./output_llm_both/sample_24.npz,-9147.462890625
25,Challenging,./output_llm_both/sample_25.npz,-9075.6025390625
26,Neutral,./output_llm_both/sample_26.npz,-9199.0224609375
27,Trivial,./output_llm_both/sample_27.npz,-9224.93359375
28,Neutral,./output_llm_both/sample_28.npz,-9133.4697265625
29,Challenging,./output_llm_both/sample_29.npz,-9158.5576171875
30,Challenging,./output_llm_both/sample_30.npz,-9225.810546875
31,Neutral,./output_llm_both/sample_31.npz,-9174.7509765625
32,Challenging,./output_llm_both/sample_32.npz,-9200.4677734375
33,Trivial,./output_llm_both/sample_33.npz,-9111.7490234375
34,Trivial,./output_llm_both/sample_34.npz,-9432.9423828125
35,Neutral,./output_llm_both/sample_35.npz,-9271.5888671875
